Price,District,City,Town,Type,EnergyCertificate,Floor,Lift,Parking,HasParking,ConstructionYear,TotalArea,GrossArea,PublishDate,Garage,Elevator,ElectricCarsCharging,TotalRooms,NumberOfBedrooms,NumberOfWC,ConservationStatus,LivingArea,LotSize,BuiltArea,NumberOfBathrooms
1300000.0,Faro,Portimão,Portimão,House,D,,False,1.0,True,1995.0,1688.0,266.0,,,,,5.0,,,,226.0,,,3.0
600000.0,Faro,Olhão,Olhão,Building,NC,,False,0.0,False,2015.0,276.0,,,,,,,,,,276.0,,,0.0
120000.0,Faro,Tavira,Tavira (Santa Maria e Santiago),Land,NC,,False,0.0,False,,210.0,,,,,,,,,,,,,0.0
119900.0,Faro,Albufeira,Paderne,Land,NC,,False,0.0,False,,12000.0,,,,,,,,,,,,,0.0
380000.0,Faro,Portimão,Portimão,Apartment,A,5th Floor,True,2.0,True,2023.0,700.0,155.0,,,,,3.0,,,,114.0,,,2.0
360000.0,Faro,Portimão,Portimão,Apartment,A,3rd Floor,True,2.0,True,2023.0,700.0,155.0,,,,,3.0,,,,114.0,,,2.0
199000.0,Faro,Portimão,Portimão,House,C,,False,0.0,False,2023.0,82.0,,,,,,2.0,,,,82.0,,,2.0
195000.0,Faro,Alcoutim,Alcoutim e Pereiro,House,NC,,False,3.0,True,2002.0,278.0,164.0,,,,,1.0,,,,131.0,,,1.0
355000.0,Faro,Portimão,Portimão,Apartment,A,4th Floor,True,2.0,True,2023.0,700.0,155.0,,,,,3.0,,,,114.0,,,2.0
330000.0,Faro,Loulé,Quarteira,Apartment,C,3rd Floor,True,1.0,True,1986.0,73.0,,,,,,2.0,,,,65.0,,,1.0
620000.0,Faro,Lagos,São Gonçalo de Lagos,Apartment,A,1st Floor,True,1.0,True,2022.0,98.0,113.0,,,,,2.0,,,,79.0,,,2.0
409000.0,Faro,Albufeira,Albufeira e Olhos de Água,House,NC,,False,2.0,True,2023.0,4500.0,177.0,,,,,2.0,,,,140.0,,,3.0
805000.0,Faro,Faro,Faro (Sé e São Pedro),Apartment,A+,5th Floor,True,2.0,True,2023.0,6058.0,385.0,,,,,3.0,,,,149.0,,,4.0
595000.0,Faro,Lagos,São Gonçalo de Lagos,Apartment,A,1st Floor,True,1.0,True,,94.0,116.0,,,,,2.0,,,,74.0,,,2.0
99000.0,Faro,Faro,Faro (Sé e São Pedro),Transfer of lease,E,,False,0.0,False,,154.0,,,,,,,,,,154.0,,,0.0
14800.0,Faro,Albufeira,Albufeira e Olhos de Água,Apartment,NC,Ground Floor,False,2.0,True,1993.0,58.0,,,,,,1.0,,,,58.0,,,1.0
120000.0,Faro,Tavira,Tavira (Santa Maria e Santiago),Land,NC,,False,0.0,False,,210.0,,,,,,,,,,,,,0.0
898000.0,Faro,Lagos,São Gonçalo de Lagos,House,D,,False,1.0,True,2001.0,259.0,286.0,,,,,3.0,,,,259.0,,,3.0
540000.0,Faro,Loulé,Alte,Farm,C,,False,3.0,True,,7576.0,,,,,,4.0,,,,188.0,,,
125000.0,Faro,Loulé,Boliqueime,Land,NC,,False,0.0,False,,6650.0,6650.0,,,,,,,,,6650.0,,,0.0
49900.0,Faro,Tavira,Tavira (Santa Maria e Santiago),Land,NC,,False,0.0,False,,3480.0,3480.0,,,,,,,,,,,,0.0
350000.0,Faro,Portimão,Portimão,Apartment,A,1st Floor,True,2.0,True,2023.0,700.0,151.0,,,,,3.0,,,,114.0,,,2.0
8500.0,Faro,Loulé,Quarteira,Apartment,NC,9th Floor,True,0.0,False,1988.0,40.0,40.0,,,,,0.0,,,,40.0,,,1.0
19000.0,Faro,Loulé,Quarteira,Apartment,NC,9th Floor,True,0.0,False,1988.0,40.0,40.0,,,,,0.0,,,,40.0,,,1.0
499000.0,Faro,Loulé,Almancil,Apartment,C,Ground Floor,False,0.0,False,1988.0,89.0,,,,,,1.0,,,,73.0,,,2.0
350000.0,Faro,Olhão,Quelfes,House,NC,,False,3.0,True,1970.0,5007.0,880.0,,,,,3.0,,,,170.0,,,0.0
